ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,PRODUCTLINE
10223,37,100.0,3965.66,Motorcycles
10361,20,72.55,1451.0,Motorcycles
10270,21,100.0,4905.39,Classic Cars
10347,30,100.0,3944.7,Classic Cars
10391,24,100.0,2416.56,Classic Cars
10120,29,96.34,2793.86,Motorcycles
10223,47,100.0,5422.39,Motorcycles
10361,26,51.15,1329.9,Motorcycles
10120,46,100.0,9264.86,Motorcycles
10223,49,100.0,9774.03,Motorcycles
10270,32,100.0,4302.08,Classic Cars
10347,27,100.0,4428.0,Classic Cars
10370,35,65.63,2297.05,Classic Cars
10391,37,46.9,1735.3,Classic Cars
10169,30,100.0,5019.9,Classic Cars
10270,28,100.0,4094.72,Trucks and Buses
10347,29,100.0,3586.43,Trucks and Buses
10370,49,100.0,8470.14,Trucks and Buses
10391,39,63.2,2464.8,Trucks and Buses
10169,35,100.0,4639.25,Motorcycles
10169,36,63.84,2298.24,Classic Cars
10270,43,96.84,4164.12,Trucks and Buses
10347,42,49.6,2083.2,Trucks and Buses
10370,27,100.0,3911.49,Trucks and Buses
10391,29,85.1,2467.9,Trucks and Buses
10148,23,100.0,2702.04,Classic Cars
10342,40,100.0,6454.4,Classic Cars
10125,32,100.0,3254.72,Vintage Cars
10139,31,100.0,3184.94,Vintage Cars
10391,35,100.0,5548.9,Vintage Cars
10139,49,43.13,2113.37,Vintage Cars
10347,21,58.95,1237.95,Vintage Cars
10391,42,100.0,4998.0,Vintage Cars
10148,47,100.0,5848.68,Classic Cars
10420,37,100.0,5283.6,Vintage Cars
10342,55,65.45,3599.75,Classic Cars
10148,25,100.0,4232.0,Classic Cars
10342,22,100.0,3160.74,Classic Cars
10420,36,63.57,2288.52,Vintage Cars
10370,22,100.0,3949.0,Trucks and Buses
10420,45,100.0,4977.0,Vintage Cars
10347,50,100.0,6834.5,Trucks and Buses
10370,22,96.86,2130.92,Trucks and Buses
10391,44,38.5,1694.0,Trucks and Buses
10120,29,71.81,2082.49,Planes
10223,47,100.0,4724.91,Planes
10120,46,58.15,2674.9,Motorcycles
10223,28,60.57,1695.96,Motorcycles
10125,34,100.0,6483.46,Vintage Cars
10139,41,100.0,7956.46,Vintage Cars
10347,21,100.0,4815.3,Vintage Cars
10148,27,100.0,3528.36,Classic Cars
10139,46,100.0,5545.76,Vintage Cars
10270,31,96.24,2983.44,Vintage Cars
10347,48,100.0,4814.4,Vintage Cars
10391,32,45.25,1448.0,Vintage Cars
10139,20,71.2,1424.0,Vintage Cars
10347,34,64.96,2208.64,Vintage Cars
10139,20,90.06,1801.2,Vintage Cars
10270,38,100.0,4775.08,Vintage Cars
10347,45,100.0,4948.2,Vintage Cars
10148,32,100.0,5418.88,Classic Cars
10342,30,100.0,5029.5,Classic Cars
10370,27,56.85,1534.95,Classic Cars
10169,32,70.76,2264.32,Classic Cars
10342,25,66.74,1668.5,Classic Cars
10139,30,100.0,3095.4,Vintage Cars
10347,26,100.0,2656.94,Vintage Cars
10169,36,100.0,4444.92,Classic Cars
10342,55,100.0,6548.3,Classic Cars
10148,28,100.0,3639.44,Classic Cars
10169,38,68.39,2598.82,Motorcycles
10342,26,55.95,1454.7,Motorcycles
