parent_folder,file_name,file_size,folder_size,num_of_files_in_parent_folder,file_extension
MY Documents,FYP Proposal.docx,332944,6251191,29,.docx
Coursera Certificates,Microsoft.jpg,619443,3505005,8,.jpg
MY Documents,Student ID.jpg,346622,6251191,29,.jpg
MY Documents,CNIC.jpg,159876,6251191,29,.jpg
MY Documents,PIC.jpg,61396,6251191,29,.jpg
MY Documents,Me.jpg,25795,6251191,29,.jpg
MY Documents,linkdin pic.jpg,229301,6251191,29,.jpg
MY Documents,Naeem ul Hassan letter of appointment.pdf,139757,6251191,29,.pdf
Coursera Certificates,Frontend.pdf,318084,3505005,8,.pdf
MY Documents,Rules and Regulations Agreement Letter  .pdf,121095,6251191,29,.pdf
MY Documents,Resume.pdf,83641,6251191,29,.pdf
Coursera Certificates,Software Engineering.pdf,366875,3505005,8,.pdf
Coursera Certificates,Supervised Machine Learning.pdf,341873,3505005,8,.pdf
MY Documents,Job hunting.pdf,56941,6251191,29,.pdf
MY Documents,DMC.pdf,470147,6251191,29,.pdf
MY Documents,Apex Space.pdf,138661,6251191,29,.pdf
MY Documents,Pic-.png,368755,6251191,29,.png
MY Documents,Chrome profile.png,149520,6251191,29,.png
MY Documents,Chrome Shortcut.png,153153,6251191,29,.png
Coursera Certificates,Frontend.png,656401,3505005,8,.png
Coursera Certificates,MERN Stack.png,112015,3505005,8,.png
MY Documents,Black Minimalist Motivation Quote LinkedIn Banner.png,366502,6251191,29,.png
Coursera Certificates,ML.png,426082,3505005,8,.png
MY Documents,DP.png,681450,6251191,29,.png
MY Documents,MyPic.png,111538,6251191,29,.png
MY Documents,mern-stack-mern-stack-developer-reactjs-nodejs-expressjs-mongodb-full-stack-developer.png,401030,6251191,29,.png
MY Documents,hacker.png,26735,6251191,29,.png
Coursera Certificates,SE.png,664232,3505005,8,.png
MY Documents,whatsapp.png,792580,6251191,29,.png
MY Documents,last.txt,178250,6251191,29,.txt
MY Documents,project.txt,71200,6251191,29,.txt
MY Documents,project (3).txt,240030,6251191,29,.txt
MY Documents,OPERATOR.txt,13361,6251191,29,.txt
MY Documents,OOP_FINAL_PROJECT.txt,125642,6251191,29,.txt
MY Documents,INSHALLAH.txt,227184,6251191,29,.txt
MY Documents,Cover letter.txt,1488,6251191,29,.txt
MY Documents,aa.txt,176597,6251191,29,.txt
